angular_velocity,sin,cos,epoch
3.179219859461601683e-01,1.201553079286681036e-02,-1.149910802022685585e-02,1.784447908497998476e+09
3.162728417954132620e-01,1.198750269249997114e-02,-1.154555337074175680e-02,1.784447908530998468e+09
3.146492207849893585e-01,1.196072076958058783e-02,-1.159137686573846748e-02,1.784447908563998461e+09
3.130507072753550002e-01,1.193513866303190507e-02,-1.163657183596339406e-02,1.784447908596998453e+09
3.114768925206055084e-01,1.191071144669335335e-02,-1.168113271928089558e-02,1.784447908629998446e+09
3.099273745734227870e-01,1.188739559597833118e-02,-1.172505499708859089e-02,1.784447908662998438e+09
3.084017581897489091e-01,1.186514895479133525e-02,-1.176833513349134774e-02,1.784447908695998430e+09
3.068996547332891733e-01,1.184393070274351867e-02,-1.181097051715757074e-02,1.784447908728998423e+09
3.054206820801288469e-01,1.182370132269865148e-02,-1.185295940574765394e-02,1.784447908761998415e+09
3.039644645235772824e-01,1.180442256865303630e-02,-1.189430087281334592e-02,1.784447908794998407e+09
3.025306326788415046e-01,1.178605743399201156e-02,-1.193499475709697277e-02,1.784447908827998400e+09
3.011188233883819176e-01,1.176857012013370063e-02,-1.197504161411860890e-02,1.784447908860998392e+09
2.997286796274953868e-01,1.175192600559198108e-02,-1.201444266998547006e-02,1.784447908893998384e+09
2.983598504100120063e-01,1.173609161544091062e-02,-1.205319977732582926e-02,1.784447908926998377e+09
2.970119906950718924e-01,1.172103459123745306e-02,-1.209131537326574302e-02,1.784447908959998369e+09
2.956847612938451331e-01,1.170672366138118814e-02,-1.212879243938996821e-02,1.784447908992998362e+09
2.943778287771612323e-01,1.169312861194653219e-02,-1.216563446357871170e-02,1.784447909025998354e+09
2.930908653840480493e-01,1.168022025799457519e-02,-1.220184540368290937e-02,1.784447909058998346e+09
2.918235489302138941e-01,1.166797041533966517e-02,-1.223742965293322937e-02,1.784447909091998339e+09
2.905755627181780820e-01,1.165635187283824148e-02,-1.227239200704904887e-02,1.784447909124998331e+09
2.893465954475151758e-01,1.164533836514662635e-02,-1.230673763294082290e-02,1.784447909157998323e+09
2.881363411262360952e-01,1.163490454599751256e-02,-1.234047203897564726e-02,1.784447909190998316e+09
2.869444989829650350e-01,1.162502596197027838e-02,-1.237360104672785566e-02,1.784447909223998308e+09
2.857707733801395644e-01,1.161567902677644593e-02,-1.240613076415958416e-02,1.784447909256998301e+09
2.846148737278360041e-01,1.160684099604607222e-02,-1.243806756016913040e-02,1.784447909289998293e+09
2.834765143987885150e-01,1.159848994263283639e-02,-1.246941804045559321e-02,1.784447909322998285e+09
2.823554146443745250e-01,1.159060473242716494e-02,-1.250018902463762016e-02,1.784447909355998278e+09
2.812512985113391206e-01,1.158316500068450050e-02,-1.253038752458718319e-02,1.784447909388998270e+09
2.801638947600542107e-01,1.157615112885450326e-02,-1.256002072391798619e-02,1.784447909421998262e+09
2.790929367831187502e-01,1.156954422193250120e-02,-1.258909595858409558e-02,1.784447909454998255e+09
2.780381625256074241e-01,1.156332608630476766e-02,-1.261762069853550328e-02,1.784447909487998247e+09
2.769993144060014512e-01,1.155747920810183682e-02,-1.264560253039331839e-02,1.784447909520998240e+09
2.759761392382562573e-01,1.155198673205630466e-02,-1.267304914109662617e-02,1.784447909553998232e+09
2.749683881551197029e-01,1.154683244085090432e-02,-1.269996830248371067e-02,1.784447909586998224e+09
2.739758165324166495e-01,1.154200073496396139e-02,-1.272636785675967941e-02,1.784447909619998217e+09
