epoch,velocity,sin,cos
1784623578.7049973011,-6.7237080090,-0.9502450778,-0.3154314369
1784623578.7379972935,-8.5953039528,-0.8399379516,-0.5449288694
1784623578.7709972858,-10.7742822222,-0.6232605335,-0.7835091946
1784623578.8039972782,-13.0059499855,-0.2709005659,-0.9638696989
1784623578.8369972706,-14.7620319829,0.1915098934,-0.9832570008
1784623578.8699972630,-15.3678207670,0.6458536120,-0.7686125214
1784623578.9029972553,-14.4219975059,0.9361785282,-0.3669886024
1784623578.9359972477,-12.1401711521,1.0037413020,0.0687757762
1784623578.9689972401,-9.2428625692,0.9173931370,0.4111680318
1784623579.0019972324,-6.4424392738,0.7811209387,0.6302900597
1784623579.0349972248,-4.1271401395,0.6603989295,0.7542870547
1784623579.0679972172,-2.3987921913,0.5764624899,0.8191239601
1784623579.1009972095,-1.1911610645,0.5278065299,0.8503789375
1784623579.1339972019,-0.3755183382,0.5063506039,0.8627681433
1784623579.1669971943,0.1764466042,0.5041743748,0.8638263452
1784623579.1999971867,0.5700129638,0.5154004446,0.8571421767
1784623579.2329971790,0.8855298168,0.5363852091,0.8442082240
1784623579.2659971714,1.1837439402,0.5653616437,0.8251859934
1784623579.2989971638,1.5129946607,0.6019341854,0.7990976994
1784623579.3319971561,1.9163850373,0.6465934235,0.7637408017
1784623579.3649971485,2.4381508079,0.7002284662,0.7153794606
1784623579.3979971409,3.1289016490,0.7634512830,0.6481907477
1784623579.4309971333,4.0490707963,0.8353459048,0.5534871451
1784623579.4639971256,5.2682708554,0.9109821979,0.4190073059
1784623579.4969971180,6.8544173937,0.9767617713,0.2293900585
1784623579.5299971104,8.8399455873,1.0031846590,-0.0290978240
1784623579.5629971027,11.1480027644,0.9385340825,-0.3537404487
1784623579.5959970951,13.4797428436,0.7180053116,-0.6973842615
1784623579.6289970875,15.2337023614,0.3122353658,-0.9482145355
1784623579.6619970798,15.6670285646,-0.2010500867,-0.9760297679
1784623579.6949970722,14.4123518962,-0.6497062698,-0.7553659869
1784623579.7279970646,11.8227707192,-0.9097582125,-0.4074869902
1784623579.7609970570,8.7190209724,-0.9942537447,-0.0795027834
1784623579.7939970493,5.8281857161,-0.9849408289,0.1590445939
1784623579.8269970417,3.5008820449,-0.9492668559,0.3068224476
1784623579.8599970341,1.7942844315,-0.9195842703,0.3870645394
1784623579.8929970264,0.6102312056,-0.9043825111,0.4220868585
1784623579.9259970188,-0.1983883111,-0.9023122891,0.4271739244
1784623579.9589970112,-0.7688569242,-0.9097189350,0.4117093719
1784623579.9919970036,-1.2111495994,-0.9232911409,0.3808527764
1784623580.0249969959,-1.6097821235,-0.9405559424,0.3366754336
1784623580.0579969883,-2.0312616758,-0.9595751406,0.2788824265
1784623580.0909969807,-2.5321947649,-0.9783038539,0.2052326465
1784623580.1239969730,-3.1664798474,-0.9936726905,0.1117745130
1784623580.1569969654,-3.9905006662,-1.0002429359,-0.0068708252
1784623580.1899969578,-5.0644460646,-0.9881860828,-0.1566760108
1784623580.2229969501,-6.4456924821,-0.9405115967,-0.3417415285
1784623580.2559969425,-8.1667105483,-0.8305118490,-0.5582407213
1784623580.2889969349,-10.1868148338,-0.6235220037,-0.7826795408
1784623580.3219969273,-12.3107920446,-0.2922637463,-0.9571520516
1784623580.3549969196,-14.1082354508,0.1466118437,-0.9904436891
1784623580.3879969120,-14.9779255084,0.5957203097,-0.8072383208
1784623580.4209969044,-14.4678742655,0.9084474029,-0.4301255712
